f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,f_bathrooms_text,n_accommodates,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_stove,d_hdtv,d_tv,d_conditioning,d_soundsystem,d_refrigerator,d_shampoo,d_soap,d_oven,d_toiletries,d_speaker,d_fan,d_heating,d_breakfast,d_table,d_dishwasher,d_dryer,d_elevator,d_fitness,d_parking,d_garage,d_wifi,d_game,d_garden,d_gym,d_restaurant,d_bar,d_washer,d_barbeque,d_bbq,price,id,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,property_type,ln_price
Entire apartment,Entire home/apt,Entire/Apt,Lower East Side,1 bath,2,100,1,0.02,30,1,1923,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,7922002,Lower East Side,Manhattan,Entire home/apt,Entire apartment,4.605170185988092
Entire apartment,Entire home/apt,Entire/Apt,Chelsea,1 bath,1,NA,0,NA,30,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,7928917,Chelsea,Manhattan,Entire home/apt,Entire apartment,5.3706380281276624
Private room in apartment,Private room,Private,Harlem,2 baths,2,NA,0,NA,30,2,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,7931059,Harlem,Manhattan,Private room,Private room in apartment,4.31748811353631
Entire apartment,Entire home/apt,Entire/Apt,Two Bridges,1 bath,2,NA,0,NA,30,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,7933896,Two Bridges,Manhattan,Entire home/apt,Entire apartment,4.867534450455582
Private room in apartment,Private room,Private,East Harlem,1 bath,2,92,5,0.08,30,1,1920,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,7939788,East Harlem,Manhattan,Private room,Private room in apartment,4.31748811353631
Private room in apartment,Private room,Private,Gramercy,1 shared bath,2,99,66,1.04,30,1,1897,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160,7952963,Gramercy,Manhattan,Private room,Private room in apartment,5.075173815233827
Private room in apartment,Private room,Private,East Village,1 bath,1,NA,0,NA,30,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,7954940,East Village,Manhattan,Private room,Private room in apartment,4.605170185988092
Private room in apartment,Private room,Private,Harlem,1 shared bath,1,97,12,0.23,30,0,1559,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,75,7955889,Harlem,Manhattan,Private room,Private room in apartment,4.31748811353631
Entire apartment,Entire home/apt,Entire/Apt,Financial District,1 bath,2,NA,0,NA,30,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,7956149,Financial District,Manhattan,Entire home/apt,Entire apartment,5.298317366548036
Entire apartment,Entire home/apt,Entire/Apt,Midtown,2 baths,5,NA,0,NA,30,2,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,335,7966358,Midtown,Manhattan,Entire home/apt,Entire apartment,5.814130531825066
